,index,Dates,Confirmed,Deaths,Recovered,Active
0,0,1/22/20,557,17,30,510
1,1,1/23/20,657,18,32,607
2,2,1/24/20,944,26,39,879
3,3,1/25/20,1437,42,42,1353
4,4,1/26/20,2120,56,56,2008
5,5,1/27/20,2929,82,65,2782
6,6,1/28/20,5580,131,108,5341
7,7,1/29/20,6169,133,127,5909
8,8,1/30/20,8237,171,145,7921
9,9,1/31/20,9927,213,225,9489
10,10,2/1/20,12038,259,287,11492
11,11,2/2/20,16787,362,476,15949
12,12,2/3/20,19887,426,627,18834
13,13,2/4/20,23899,492,857,22550
14,14,2/5/20,27644,564,1130,25950
15,15,2/6/20,30806,634,1493,28679
16,16,2/7/20,34400,719,2016,31665
17,17,2/8/20,37131,806,2617,33708
18,18,2/9/20,40162,906,3247,36009
19,19,2/10/20,42771,1013,3949,37809
20,20,2/11/20,44814,1113,4684,39017
21,21,2/12/20,45232,1118,5151,38963
22,22,2/13/20,60384,1371,6294,52719
23,23,2/14/20,66912,1523,8061,57328
24,24,2/15/20,69055,1666,9397,57992
25,25,2/16/20,71238,1770,10867,58601
26,26,2/17/20,73273,1868,12587,58818
27,27,2/18/20,75155,2008,14352,58795
28,28,2/19/20,75655,2123,16123,57409
29,29,2/20/20,76216,2248,18181,55787
30,30,2/21/20,76846,2252,18894,55700
31,31,2/22/20,78608,2459,22892,53257
32,32,2/23/20,78990,2470,23397,53123
33,33,2/24/20,79558,2630,25229,51699
34,34,2/25/20,80412,2710,27907,49795
35,35,2/26/20,81385,2771,30388,48226
36,36,2/27/20,82730,2814,33282,46634
37,37,2/28/20,84154,2873,36714,44567
38,38,2/29/20,86030,2943,39785,43302
39,39,3/1/20,88410,2997,42721,42692
40,40,3/2/20,90393,3086,45605,41702
41,41,3/3/20,93004,3160,48227,41617
42,42,3/4/20,95329,3255,51170,40904
43,43,3/5/20,98046,3348,53796,40902
44,44,3/6/20,101976,3461,55864,42651
45,45,3/7/20,106122,3566,58358,44198
46,46,3/8/20,109972,3807,60695,45470
47,47,3/9/20,114299,3997,62495,47807
48,48,3/10/20,119108,4273,64402,50433
49,49,3/11/20,126628,4618,66999,55011
50,50,3/12/20,133383,4930,68328,60125
51,51,3/13/20,146673,5420,70255,70998
52,52,3/14/20,157617,5843,72622,79152
53,53,3/15/20,168876,6496,76031,86349
54,54,3/16/20,183394,7178,78086,98130
55,55,3/17/20,198691,7989,80830,109872
56,56,3/18/20,216348,8907,83317,124124
57,57,3/19/20,243464,10017,84958,148489
58,58,3/20/20,273008,11504,87403,174101
59,59,3/21/20,305423,13233,91650,200540
60,60,3/22/20,339895,14919,97867,227109
61,61,3/23/20,382799,16886,98355,267558
62,62,3/24/20,424883,19201,107974,297708
63,63,3/25/20,475998,22022,113753,340223
64,64,3/26/20,537412,25058,122125,390229
65,65,3/27/20,601349,28538,130910,441901
66,66,3/28/20,670495,32374,139421,498700
67,67,3/29/20,726726,35838,148877,542011
68,68,3/30/20,791975,39895,164213,587867
69,69,3/31/20,870403,44661,177803,647939
70,70,4/1/20,951969,50690,193075,708204
71,71,4/2/20,1034276,56593,210218,767465
72,72,4/3/20,1118278,62818,225640,829820
73,73,4/4/20,1178364,68781,246052,863531
74,74,4/5/20,1250389,74091,259888,916410
75,75,4/6/20,1324900,79957,276597,968346
76,76,4/7/20,1393879,88306,299859,1005714
77,77,4/8/20,1475876,95132,328741,1052003
78,78,4/9/20,1562642,103003,353995,1105644
79,79,4/10/20,1649187,110566,375733,1162888
80,80,4/11/20,1724606,117085,401983,1205538
81,81,4/12/20,1843413,122923,421366,1299124
82,82,4/13/20,1915035,128978,448623,1337434
83,83,4/14/20,1999559,136190,473697,1389672
84,84,4/15/20,2077372,144552,510236,1422584
85,85,4/16/20,2171786,152027,541119,1478640
86,86,4/17/20,2259608,160598,567303,1531707
87,87,4/18/20,2337797,166984,591169,1579644
88,88,4/19/20,2414458,172420,622952,1619086
89,89,4/20/20,2490366,178323,645130,1666913
90,90,4/21/20,2566639,185709,679932,1700998
91,91,4/22/20,2648576,192773,710017,1745786
92,92,4/23/20,2731192,199677,738747,1792768
93,93,4/24/20,2815228,206618,788776,1819834
94,94,4/25/20,2898735,212568,816531,1869636
95,95,4/26/20,2969607,216862,845343,1907402
96,96,4/27/20,3040530,221732,873227,1945571
97,97,4/28/20,3116386,228529,906439,1981418
98,98,4/29/20,3193730,235490,948516,2009724
99,99,4/30/20,3277571,241551,1013632,2022388
100,100,5/1/20,3366612,247090,1051789,2067733
101,101,5/2/20,3444965,252960,1092440,2099565
102,102,5/3/20,3519126,256821,1124973,2137332
103,103,5/4/20,3596511,261187,1159059,2176265
104,104,5/5/20,3676150,267425,1195532,2213193
105,105,5/6/20,3766684,274175,1241651,2250858
106,106,5/7/20,3855365,279849,1281176,2294340
107,107,5/8/20,3945798,285772,1317589,2342437
108,108,5/9/20,4030372,290390,1371030,2368952
109,109,5/10/20,4105625,294441,1404839,2406345
110,110,5/11/20,4181601,298266,1451724,2431611
111,111,5/12/20,4266958,304145,1488766,2474047
112,112,5/13/20,4351291,309599,1544638,2497054
113,113,5/14/20,4446960,315236,1584349,2547375
114,114,5/15/20,4543311,320958,1632452,2589901
115,115,5/16/20,4637422,325507,1688863,2623052
116,116,5/17/20,4715830,329093,1729871,2656866
117,117,5/18/20,4804898,333226,1782787,2688885
118,118,5/19/20,4900712,338357,1834839,2727516
119,119,5/20/20,5006101,343750,1893809,2768542
120,120,5/21/20,5111872,348701,1945029,2818142
121,121,5/22/20,5219116,354391,2053576,2811149
122,122,5/23/20,5323549,358772,2108410,2856367
123,123,5/24/20,5416803,362256,2163937,2890610
124,124,5/25/20,5504950,363762,2227666,2913522
125,125,5/26/20,5597806,368385,2282818,2946603
126,126,5/27/20,5700332,373746,2346145,2980441
127,127,5/28/20,5819997,378796,2413008,3028193
128,128,5/29/20,5941627,383957,2490273,3067397
129,129,5/30/20,6077043,388249,2560723,3128071
130,130,5/31/20,6180063,391390,2637107,3151566
131,131,6/1/20,6280298,395026,2692032,3193240
132,132,6/2/20,6403455,400311,2796144,3207000
133,133,6/3/20,6514707,405982,2875235,3233490
134,134,6/4/20,6652819,411413,2945305,3296101
135,135,6/5/20,6786465,416545,3014470,3355450
136,136,6/6/20,6915947,420646,3086674,3408627
137,137,6/7/20,7026916,423771,3141783,3461362
138,138,6/8/20,7129987,428103,3293394,3408490
139,139,6/9/20,7256299,433214,3375664,3447421
140,140,6/10/20,7393423,438647,3454835,3499941
141,141,6/11/20,7529263,443734,3540714,3544815
142,142,6/12/20,7656735,448463,3620434,3587838
143,143,6/13/20,7790661,452870,3706326,3631465
144,144,6/14/20,7922547,456527,3777145,3688875
145,145,6/15/20,8047368,460513,3857420,3729435
146,146,6/16/20,8191585,467642,3955283,3768660
147,147,6/17/20,8334716,473123,4074114,3787479
148,148,6/18/20,8477439,478450,4155277,3843712
149,149,6/19/20,8658516,484801,4250267,3923448
150,150,6/20/20,8844376,489240,4366121,3989015
